"238.24800,1,25,16777215,1615296831,0,260a4f4c,46218428368814085",好家伙拉出去就是一枪头
"31.18300,1,25,16777215,1616219491,0,7032a26b,46702168277254149",蟋蟀毛识amu
"27.91100,1,25,16777215,1615972664,0,5c37cdad,46572759422599171",如果您覺得不像亦沒有必要留言
"25.41900,1,25,16777215,1615956058,0,6a2f815e,46564053490335749",不是这身衣服我都没敢认
"53.47200,1,25,16777215,1616829397,0,dcf52f45,47021934329200643",卡点好评
"1475.20800,1,25,16777215,1615202699,0,4b720d2,46169076200374277",俩人可以一起演喜剧
"1172.80800,1,25,16777215,1615202089,0,4b720d2,46168756271972357",看麦和糕做节目也有意思
"868.76800,1,25,16777215,1615201746,0,4b720d2,46168576736362499",糕始终调皮
"68.67500,1,25,16777215,1622730185,0,81430450,50115647076564995",这是啥关卡啊，我怎么没打到过这
"77.71800,1,25,16777215,1615301401,0,8bffd09,46220824422121477",这顶板。。。不打排位都应该知道封吧。。
"29.37900,1,25,16777215,1615197313,0,13f89951,46166252552978435",？这队友，美羊羊这个电话打的和没打一样
"41.35000,1,25,15138834,1615454735,0,8fb092bd,46301215847350275",帅哦
"5.85000,5,25,15138834,1615454700,0,8fb092bd,46301197371965443",见封进
"296.10400,1,25,16777215,1622819928,0,614500d1,50162698283909123",哈哈哈哈哈哈哈语无伦次
"107.30300,1,25,16777215,1617555852,0,4b8fd5be,47402805981872135",怎么和我的一样经历啊
"80.04400,1,25,16777215,1615647494,0,2bff744c,46402276881858565",想多了 就一万美金
"68.82200,1,25,16777215,1615258875,0,5bd00a28,46198528849477639",几十万美金- -
"1017.09800,1,25,16777215,1615223391,0,19c47889,46179924822720519",不能
"108.84300,1,25,16777215,1615211855,0,1a083996,46173876844494853",出了净化哪有蓝
"611.81500,1,25,16777215,1615136413,0,8336c2aa,46134323348766725",扔掉的是显影之尘
"22.29100,1,25,16777215,1615247691,0,6d8a0743,46192665230311431",完了饺子没了
"71.08100,1,25,16777215,1615214652,0,c7ff017c,46175343089811463",干嘛需要得到西方人认可饺子，我们自己吃就行
"76.46200,1,25,16777215,1615214593,0,c7ff017c,46175312262725639",无聊
"62.58000,1,25,16777215,1615195201,0,a9aeee21,46165145053822981",早就偷了，它们一直说饺子是它们特有的食物，中国盗窃它们的...
"83.52400,1,25,16777215,1615187064,0,50f81d0c,46160879008874499",这就够了
"2.94000,1,25,16777215,1615174482,0,68d24138,46154282311352323",哦
"50.65900,1,25,16777215,1615174434,0,975e7a83,46154257156014087",偷国人
"7.39200,1,25,16777215,1615174279,0,f1220dd1,46154176067010565",中国现包的好吃，韩国冷冻的好吃，很正常
"40.69800,1,25,16777215,1615174121,0,aa6e40d1,46154093243138051",明明是韩国做中国饺子。。完蛋，饺子也盯上了
"66.84100,1,25,16777215,1615173119,0,4a58090a,46153567682691075",有中国在韩国饺子不可能翻身的，首先中国人自己就不吃
"41.36400,1,25,16777215,1615171488,0,1139dcdd,46152712542748677",不要脸棒子
"22.38300,1,25,16777215,1615171293,0,ae57109,46152610456535045",棒子什么东西都加韩式，然后说自己发明的，真是病态民族
"39.23900,1,25,16777215,1615171210,0,ae57109,46152566876143623",开始偷饺子了吗
"19.76900,1,25,16777215,1615170839,0,70a05040,46152372445511683",中国就是中国 是韩国做出的中国饺子  好好说话
"28.64000,1,25,16777215,1615170487,0,ef76b676,46152187788656645",饺子申遗筹划中
"77.17900,1,25,16777215,1615170463,0,a38fce43,46152175354118151",为什么要欧美的专家说了算呢？
"28.83900,1,25,16777215,1615170354,0,d898df74,46152118024798215",偷饺子偷的不错啊，饺子也被你们偷去了
"7.85800,1,25,16777215,1615170274,0,dc200514,46152076419399683",偷死你们算了
"72.77800,1,25,16777215,1615167847,0,ede82ce8,46150803806748675",推荐心医林霖的视频，别管他们怎么说
"21.29800,1,25,16777215,1615167366,0,c79d817a,46150551616880645",最容易文化输出就是电影，国内都是逐利，只想着国内市场。没有担当。
"7.75700,1,25,16777215,1615167213,0,57b6d093,46150471243005955",？
"37.19500,1,25,16777215,1615166114,0,e671a95c,46149895132282883",饺子也开始偷了
"19.55400,1,25,16777215,1615165626,0,a83e48b6,46149639596408835",偷中国的手艺改名字就是韩国的了
"44.81900,1,25,16777215,1615134326,0,af6c787e,46133229358415875",偷国木奉子学会了就改名宣传是自己的
"96.33000,1,25,16777215,1615136364,0,b200777,46134297605177347",lulu生日快乐
"0.75500,5,25,15138834,1615273196,0,c53f6b4,46206037186838533",没错！你卡了！
"69.94900,1,25,16777215,1621842104,0,57903e5c,49650036768768005",衣服多吧
"182.51400,1,25,14811775,1616343963,0,3f861650,46767427270213639",笑死我了哈哈哈哈哈懵智的表情动作
"54.97900,1,25,16777215,1616204123,0,9c6807c3,46694110820040711",这肚子？？？？？？？？？？？？
"200.25400,1,25,16777215,1615884559,0,ba238985,46526567258521607",宋智孝好看
"64.40300,1,25,16777215,1615864547,0,d6c301f2,46516075090673669",逐渐忘记标题系列
"212.04200,1,25,16777215,1615799192,0,508428d8,46481810572443651",好帅
"62.88400,1,25,16777215,1615628251,0,1fcedbf8,46392188066594823",宋智孝胖的？还是怀孕了？
"181.22800,1,25,16777215,1615321738,0,2b8993f5,46231486869274627",双标吧
"209.41600,1,25,16777215,1615296625,0,d87b1d36,46218320435740679",阿尼呀什么！就是追着脑袋拍的
"183.63900,1,25,16777215,1615268197,0,eb3fa353,46203416067702791",智孝：姐年轻的时候打群架就这样
"111.61300,1,25,16777215,1615220352,0,95f46a7b,46178331730640901",罗林斯亲传
"99.56100,1,25,16777215,1615210698,0,d0fcda10,46173270108536837",预判失败！
"33.32500,1,25,16777215,1615204641,0,95b84774,46170094339358789",最新一期
"95.17700,1,25,16777215,1615202011,0,c9ee9bad,46168715381178371",哈哈哈哈哈哈哈
"220.17900,1,25,16777215,1615199173,0,9290fd59,46167227406221317",好帅
"116.81900,1,25,16777215,1615196430,0,73248174,46165789629743109",战争践踏笑死了
"103.01500,1,25,16777215,1615193963,0,c44c87e6,46164496075456519",哈哈哈哈哈哈
"213.76600,1,25,16777215,1615184416,0,2d6df611,46159490581528579",太帅哦
