"1287.13200,1,25,16777215,1586620107,0,89fc3f96,31183566088962055",来就来吧，带什么吃的，这么见外,4
"35.97500,1,25,16777215,1582453624,0,1227501a,28999129360760834",谢谢高能君,0
"1679.76800,1,25,16777215,1586602869,0,bc5f530f,31174528749010947",伊芙琳只是想要家人，但她不知道家人真正的意义，就像看见其他小孩有糖自己也想要,4
"621.14200,1,25,16777215,1586599919,0,1d4284b,31172982080536583",坟蛋。。。,4
"1182.21700,1,25,16777215,1586596370,0,8700fa50,31171121085153287",护体- -,4
"301.93200,1,18,8700107,1585057281,0,7d70b96a,30364195452616707",谢谢高能君,0
"19.24800,1,25,16777215,1620140503,0,cb7c0914,48757907770572803",预言家到了[doge],4
"665.59200,1,25,16777215,1618650260,0,4e3668c2,47976591169421317",遇到米娅前基本上没有惊吓点的,4
"1746.25300,5,25,16707842,1586595549,0,76605f95,31170690792554503",儿科医院的你是魔鬼吗233,4
"338.17900,1,25,16777215,1561778613,0,5c280c9,18159468886884352",谢谢高能君,0
"774.33500,5,25,16707842,1586594817,0,76605f95,31170306977562629",生发危机……,4
"617.80900,5,25,16707842,1586594656,0,76605f95,31170222443986951",这是什么虎狼之词！！！,4
"618.36900,1,25,16777215,1619462671,0,a4761b2a,48402528709115909",原地去世,3
"21.80800,1,25,16777215,1519833180,0,12543848,4353392912",谢谢高能君,0
"4.82600,5,25,16707842,1586593944,0,76605f95,31169849453445127",几秒不见，甚是想念！！！！！！！！！！！！！,4
"0.40500,5,25,16707842,1586593884,0,76605f95,31169817882918919",几秒不见，甚是想念！！！！！,4
"1908.68300,1,25,16777215,1586593437,0,c961bdee,31169583542960133",又来了233用这个！,4
"1785.81700,1,25,16777215,1586593297,0,c961bdee,31169510363365381",研究人员的错,4
"1480.32900,1,25,16777215,1586592979,0,c961bdee,31169343259672583",这么窄都能过,4
"1753.00900,1,25,16777215,1587576135,0,2a9f0e7f,31684800141590533",谢谢高能君！！！,0
"2100.01700,1,25,16777215,1536574624,0,5477e81c,4945319942422530",谢谢高能君！！！,0
"1919.57800,1,25,16777215,1572656346,0,6e57e3f0,23862534007685120",谢谢高能君QAQ,0
"2185.73700,1,25,16777215,1535470667,0,117d2fba,4366528889749504",谢谢高能菌,0
"219.49300,1,25,38979,1586708959,0,ba4e12b8,31230150067617797",谢谢高能菌！！,0
"1175.63200,1,25,16777215,1601771775,0,485d4e54,39127403962302467",原来 这个可以烧开打开的吗,4
"683.68600,1,25,16777215,1586565080,0,3ad65e57,31154716203286533",SCP的霜菌,4
"1999.61500,1,25,16777215,1586765431,0,ba4e12b8,31259757638582277",谢谢高能菌！！,0
"142.60000,1,25,16777215,1613967881,0,fafefd3e,45521676281053191",原来cc是女的！！！！！！！！！！,4
"726.09400,1,25,16777215,1586532031,0,b93c0ac5,31137388981911559",大肠杆菌了解下,4
"2174.82600,1,25,16777215,1583577739,0,cc1de292,29588489191292935",谢谢各位和c菌,0
"199.13700,1,25,16777215,1604469818,0,5e6838a3,40541955304194051",谢谢功能菌,0
"2196.84700,1,25,16777215,1611581589,0,8c7ac2f,44270571956469767",原来分手要这样分啊,4
"341.03800,5,25,16646914,1586516361,0,52e16af9,31129173529985029",强烈子弹：更容易地击杀您的队友,4
"2070.06000,1,25,16777215,1586510007,0,6408b415,31125842076631043",得亏是克里斯不是里昂，不然直升机要炸,4
"1570.01400,1,25,16777215,1586509427,0,6408b415,31125537855897607",不是没控制，暂时控制不了而已,4
"318.73600,5,25,4351678,1583484242,0,77c5d034,29539470107738183",谢谢哈哈哈,0
"1279.79700,1,25,16646914,1586508817,0,44246edb,31125218178105347",高利贷,4
"312.10600,1,25,16777215,1598582781,0,df8fb582,37455452811821061",原来刚刚女主去摇男主其实是拿手电筒去了,4
"1056.57100,1,25,16777215,1586943283,0,31307813,31353003534974983",谢谢后期c！,0
"1083.34100,1,25,16646914,1586508562,0,44246edb,31125084620980227",谁家注射器是铁的？,4
"761.55900,1,25,16777215,1586508265,0,6408b415,31124928695107589",米娅只是护送人员而已,4
"529.64000,1,25,16777215,1586508019,0,6408b415,31124799920537605",矿车生化4就有了，是不是就玩过逃生,4
"1981.01200,1,25,16777215,1586507507,0,8069c3e2,31124531511820293",心疼归心疼，她必须死,4
